external_gene_name,entrezgene_id
SETBP1,26040
KIR3DL3,115653
PRDM2,7799
CEP135,9662
CEP135,9662
UCN,7349
UCN,7349
SETBP1,26040
SETBP1,26040
SETBP1,26040
SETBP1,26040
ACTR3C,653857
TESK1,7016
TESK1,7016
ROCK2,9475
ROCK2,9475
ROCK2,9475
ROCK2,9475
ROCK2,9475
ROCK2,9475
ROCK2,9475
ROCK2,9475
ROCK2,9475
ROCK2,9475
ROCK2,9475
ROCK2,9475
ROCK2,9475
ROCK2,9475
ROCK2,9475
PRDM2,7799
ACTR3C,653857
ACTR3C,653857
ACTR3C,653857
ACTR3C,653857
ACTR3C,653857
PPP1R9A,55607
ROCK2,9475
ACTR3C,653857
SKA3,221150
SKA3,221150
SKA3,221150
DMTN,2039
ROCK2,9475
TESK1,7016
PNPLA2,57104
PNPLA2,57104
PNPLA2,57104
PNPLA2,57104
PNPLA2,57104
KIR2DL4,3805
TRIM54,57159
TRIM54,57159
KIR2DL4,3805
KIR2DL4,3805
TRIM54,57159
TRIM54,57159
ROCK2,9475
SKA3,221150
ANKRD20A2P,441430
ANKRD20A2P,441430
ANKRD20A2P,441430
ANKRD20A2P,441430
ANKRD20A2P,441430
ANKRD20A2P,441430
ANKRD20A2P,441430
ANKRD20A2P,441430
ANKRD20A2P,441430
ANKRD20A2P,441430
PRDM2,7799
PRDM2,7799
ANKRD20A2P,441430
SKA3,221150
SKA3,221150
SKA3,221150
SKA3,221150
KIR2DL4,3805
SKA3,221150
PRDM2,7799
HAUS6,54801
HAUS6,54801
HAUS6,54801
HAUS6,54801
HAUS6,54801
HAUS6,54801
HAUS6,54801
HAUS6,54801
SKA3,221150
HAUS6,54801
HAUS6,54801
HAUS6,54801
KRT3,3850
DBNDD2,55861
DBNDD2,55861
RARRES2,5919
RARRES2,5919
MRPL57,78988
MRPL57,78988
MRPL57,78988
MRPL57,78988
RARRES2,5919
RARRES2,5919
PRDM2,7799
PRDM2,7799
ZBED6CL,113763
ZBED6CL,113763
ZBED6CL,113763
ZBED6CL,113763
PHF21B,112885
PRDM2,7799
PRDM2,7799
PRDM2,7799
LRRC61,65999
LRRC61,65999
PRDM2,7799
PRDM2,7799
PRDM2,7799
TRAV12-3,NA
PRDM2,7799
PRDM2,7799
LRRC61,65999
LRRC61,65999
LRRC61,65999
LRRC61,65999
LRRC61,65999
LRRC61,65999
TRAV8-6,NA
TRAV16,NA
LRRC61,65999
LRRC61,65999
DBNDD2,55861
TRAV17,NA
DBNDD2,55861
DBNDD2,55861
KRT4,3851
KRT4,3851
SPI1,6688
SPI1,6688
SPI1,6688
SPI1,6688
TRAV18,NA
TRAV19,NA
DBNDD2,55861
DBNDD2,55861
TMEM38B,55151
KRT4,3851
DBNDD2,55861
DBNDD2,55861
KRT4,3851
SPI1,6688
SPI1,6688
SPI1,6688
SPI1,6688
CD72,971
CD72,971
CD72,971
CD72,971
TRAV20,NA
TRAV21,NA
SPI1,6688
DBNDD2,55861
DBNDD2,55861
DBNDD2,55861
DBNDD2,55861
DBNDD2,55861
DBNDD2,55861
PHF21B,112885
PHF21B,112885
PHF21B,112885
SPI1,6688
SPI1,6688
DBNDD2,55861
DBNDD2,55861
RBM4B,83759
RBM4B,83759
RBM4B,83759
RBM4B,83759
PHF21B,112885
PHF21B,112885
PHF21B,112885
TRAV22,NA
PHF21B,112885
DBNDD2,55861
DBNDD2,55861
PHF21B,112885
KIR2DL1,3802
TRAV23DV6,NA
DBNDD2,55861
KIR2DL1,3802
CHST15,51363
CHST15,51363
MCM10,55388
MCM10,55388
MCM10,55388
MCM10,55388
CHST15,51363
CHST15,51363
CHST15,51363
CHST15,51363
CFAP53,220136
CFAP53,220136
CFAP53,220136
CFAP53,220136
CFAP53,220136
PHF21B,112885
PHF21B,112885
PHF21B,112885
BEGAIN,57596
NUP205,23165
NUP205,23165
MCM10,55388
RBM4B,83759
RBM4B,83759
RBM4B,83759
RBM4B,83759
CHST15,51363
CHST15,51363
CHST15,51363
RBM4B,83759
KIR2DL3,3804
TMEM38B,55151
TMEM38B,55151
BEGAIN,57596
BEGAIN,57596
MCM10,55388
MCM10,55388
MCM10,55388
MCM10,55388
TP53TG5,27296
TP53TG5,27296
CD72,971
CD72,971
CD72,971
CD72,971
RBM4B,83759
TMEM38B,55151
CD72,971
TMEM38B,55151
BEGAIN,57596
MCM10,55388
MCM10,55388
TMEM38B,55151
RBM4B,83759
SPDYE14,NA
CD72,971
CD72,971
CD72,971
BEGAIN,57596
BEGAIN,57596
PLAC8,51316
PLAC8,51316
PLAC8,51316
PLAC8,51316
RBM4B,83759
BEGAIN,57596
BEGAIN,57596
BEGAIN,57596
PLAC8,51316
PLAC8,51316
PLAC8,51316
PLAC8,51316
RBM14,10432
RBM14,10432
RBM14,10432
BEGAIN,57596
BEGAIN,57596
CCDC96,257236
CCDC96,257236
RBM14,10432
RBM14,10432
FOXJ3,22887
PLAC8,51316
NUP205,23165
PLAC8,51316
PLAC8,51316
PLAC8,51316
PLAC8,51316
LYPLA2,11313
LYPLA2,11313
TADA2B,93624
NUP205,23165
RBM14,10432
PLAC8,51316
PLAC8,51316
PLAC8,51316
