gene;ratio;pval;qval
Apoa1;0.578;0.0000000676;0.00000519
Lamp1;0.794;0.000000077;0.00000587
Cdr2;1.233;0.0000000799;0.00000604
Gm10718;-1.343;0.0000000958;0.00000719
Slc7a8;1.401;0.0000000973;0.00000724
Psmc2;-1.353;0.000000103;0.00000763
Tmcc1;-1.022;0.000000107;0.00000787
Gm10715;-1.353;0.000000139;0.0000101
Sipa1;-3.565;0.000000152;0.000011
Pikfyve;-1.053;0.000000183;0.0000131
Arhgdib;-3.419;0.0000002;0.0000143
Lck;-3.447;0.000000243;0.0000172
Abcb1a;2.489;0.000000252;0.0000177
Gpa33;1.264;0.000000262;0.0000181
Sparc;-3.615;0.000000261;0.0000181
Recql;-1.187;0.000000276;0.000019
Focad;-1.458;0.000000284;0.0000194
Atp9a;1.257;0.000000323;0.0000219
Caps2;-1.18;0.000000351;0.0000236
App;0.94;0.00000037;0.0000247
Vdr;0.684;0.000000378;0.0000251
Gm13722;-0.911;0.000000401;0.0000265
Ifi27l2b;0.542;0.00000041;0.0000269
Cd7;-3.278;0.000000475;0.000031
Tm9sf2;1.277;0.00000048;0.0000311
Zfp697;-1.313;0.000000498;0.000032
Cybb;-3.464;0.000000513;0.0000328
Cdh1;1.541;0.000000569;0.0000361
PISD;-1.087;0.000000634;0.00004
Mar-06;0.91;0.00000065;0.0000407
Ccl5;-3.012;0.000000676;0.0000421
Abhd2;0.682;0.000000698;0.0000432
Cyp2c55;1;0.000000716;0.0000439
Reg2;-1.243;0.000000718;0.0000439
Swt1;-1.17;0.000000832;0.0000505
C1qc;-3.408;0.000000881;0.0000532
Slc40a1;0.699;0.000000908;0.0000545
Dgat2;0.714;0.000000925;0.0000552
Tcrg-C1;-3.376;0.000000995;0.000059
Ppp1r18;-3.35;0.00000104;0.0000615
Gm10719;-1.301;0.00000106;0.000062
Gm15807;-1.61;0.00000106;0.000062
Cenpb;-2.148;0.00000109;0.0000634
Tgtp2;-3.392;0.0000011;0.0000636
Slc16a9;1.092;0.00000116;0.0000663
Kif1c;-3.397;0.00000117;0.0000663
Surf4;0.676;0.00000132;0.0000748
RP24-291N22.1;-1.05;0.00000137;0.0000773
Gm21833;-0.971;0.00000141;0.0000787
Ces2c;1.012;0.0000015;0.0000836
Tm4sf5;0.51;0.00000153;0.0000847
Ttyh2;1.043;0.00000164;0.0000903
Gm11168;-1.356;0.00000175;0.0000958
Gm9864;-3.188;0.00000191;0.00010393
Cyp2c68;0.843;0.00000212;0.00011471
Tcn2;0.993;0.00000213;0.00011471
Olfr613;-0.841;0.00000218;0.000116947
Ace;1.657;0.00000222;0.000118086
Fam105a;-3.317;0.00000223;0.000118086
Gm10720;-1.468;0.00000233;0.000122681
H2-K1;0.808;0.00000235;0.000123339
Cyb5r4;-1.063;0.00000243;0.000126425
Gm10717;-1.846;0.00000249;0.000129211
Apoc2;0.775;0.00000254;0.000131272
Cdhr2;0.949;0.00000275;0.000141127
Gm10717;-1.402;0.00000281;0.000142866
Dtnb;-1.156;0.00000281;0.000142866
Grk4;-0.901;0.00000285;0.000143974
Myo18a;-1.078;0.00000294;0.000148019
Col4a1;-3.306;0.00000317;0.000158793
Mcmdc2;-1.052;0.0000032;0.000159461
Il13ra1;0.986;0.00000334;0.000165358
Pkib;-1.126;0.00000339;0.000166942
Dync1h1;1.516;0.00000344;0.000168578
Adipor2;0.614;0.00000418;0.000203842
Slc35b1;0.8;0.00000427;0.000207221
Utrn;-1.886;0.00000429;0.000207221
Gm17555;-1.339;0.00000433;0.000208141
Tgoln1;0.794;0.0000044;0.000210544
Sppl2a;1.02;0.00000447;0.000213001
Gbp5;-1.268;0.00000504;0.000238809
Rnf128;0.684;0.00000538;0.000253683
Gm42927;-1.085;0.0000057;0.000267669
Glrx2;-1.045;0.00000581;0.000271247
Pigr;-1.162;0.00000675;0.000313938
Sar1b;0.686;0.00000683;0.000316211
Reg1;0.523;0.000007;0.000322622
Fam73a;-0.631;0.00000726;0.000332901
Itga4;-1.454;0.0000075;0.00034241
Slc16a10;1.377;0.00000759;0.000345018
Slc2a2;1.156;0.00000765;0.000345913
Smpdl3b;0.767;0.00000803;0.000361413
Cyp3a25;0.62;0.00000821;0.00036807
Gm11168;-1.671;0.00000852;0.000378614
Veph1;-1.349;0.00000849;0.000378614
Iqgap2;-0.582;0.00000856;0.000378703
Armt1;-1.044;0.00000867;0.000381727
Vmn1r58;-0.823;0.00000878;0.000384823
Dpep1;0.84;0.0000089;0.000388177
Smim24;0.469;0.00000918;0.000398673
Tcrg-C4;-2.964;0.00000943;0.000408094
Sgpl1;2.744;0.00000981;0.000422539
RP24-297G19.6;-1.179;0.0000102;0.000436805
Cmah;-1.089;0.0000104;0.000438979
Ppp2r5a;-0.923;0.0000104;0.000438979
Entpd5;1.117;0.0000103;0.000438979
Cd8a;-2.56;0.0000105;0.000441706
Col3a1;-3.087;0.0000109;0.000458888
Prmt5;0.6;0.0000118;0.000494867
Kif5b;-0.789;0.000013;0.000540162
Cdhr5;0.694;0.0000132;0.000546174
Nap1l1;-1.683;0.0000133;0.000546853
Gm42857;-0.886;0.0000133;0.000548585
Tmem45b;0.876;0.0000136;0.00055516
Serinc3;0.509;0.0000148;0.000604399
St3gal4;0.476;0.0000154;0.00062604
Lpgat1;0.556;0.0000157;0.000633512
Zfp91;-1.372;0.0000163;0.000657919
Frk;0.871;0.0000173;0.000692177
Slc46a1;0.976;0.0000181;0.000723521
Laptm5;-3.098;0.0000182;0.000723521
Hook2;1.316;0.0000189;0.000749689
Slc51a;1.013;0.0000195;0.000769742
Gm43960;-0.686;0.0000201;0.000788986
Rpn1;1.161;0.0000202;0.000792143
Rpl23;-0.945;0.0000207;0.000806479
Gin1;-1.086;0.0000215;0.000833961
Hmmr;-3.14;0.0000236;0.000913008
Pvrl3;1.617;0.000024;0.000919808
Psen1;0.902;0.000024;0.000919808
Mycbp2;-1.24;0.0000246;0.000940432
Kdelr2;0.729;0.000026;0.000991039
Ssbp2;-1.491;0.0000273;0.001037513
Vps50;-0.981;0.0000275;0.001039607
AC182748.2;-1.476;0.0000276;0.001039607
Gm21962;-1.332;0.0000288;0.001079905
Cd3e;-2.792;0.0000292;0.001089775
Tmprss15;1.764;0.0000306;0.001138363
Pgrmc1;0.699;0.0000314;0.001164667
Cep85;-0.484;0.0000334;0.001235038
St14;0.752;0.0000341;0.001255842
Mall;0.78;0.0000348;0.001275523
Zfp457;-1.06;0.000035;0.001278913
Apoa4;0.798;0.0000353;0.001285659
Gm18451;-1.412;0.0000359;0.001304101
Slc31a1;0.597;0.0000365;0.001319454
Rps3a1;-0.734;0.0000372;0.001339591
Cd53;-2.887;0.0000399;0.001432747
Sycp1;-1.392;0.0000405;0.001447189
H2-Q7;-2.453;0.0000423;0.001508703
Ugt2b5;1.47;0.0000433;0.001538371
Abcd3;0.586;0.0000437;0.001545996
Slc25a45;0.907;0.0000442;0.001556677
Cyp2d26;0.694;0.0000449;0.001578311
Mef2a;-1.025;0.0000483;0.001691224
Fam46c;-2.844;0.0000487;0.001697131
Creb3l3;0.592;0.000051;0.001771296
Gm8956;-1.022;0.0000511;0.001771296
Arl6ip1;0.627;0.0000537;0.001854008
Adam12;-1.178;0.000054;0.001857434
Epn1;2.669;0.0000579;0.001981519
Akap9;1.261;0.000058;0.001981519
4932414N04Rik;-1.639;0.0000594;0.002020898
F11r;0.668;0.0000609;0.002065257
Glrb;-1.28;0.0000611;0.002065337
Nkg7;-2.714;0.0000613;0.002065396
Malrd1;1.491;0.0000615;0.002065396
Acad9;-0.86;0.000062;0.002073093
Krit1;-1.411;0.0000626;0.002088771
Trappc13;-3.354;0.0000681;0.002263747
Gm21292;-2.869;0.0000699;0.002316751
Ednrb;-2.896;0.0000704;0.00232374
Cenpc1;-1.313;0.0000711;0.002334333
Gm5595;1.016;0.0000712;0.002334333
Tor1aip2;0.806;0.0000724;0.002362092
Gzma;-3.455;0.0000725;0.002362092
Ces2a;0.996;0.0000777;0.002523408
Tmem136;-2.8;0.0000793;0.002567915
Cldn3;0.709;0.0000838;0.002703154
Ndufb2;-0.981;0.0000892;0.002841092
Ugt1a8;1.298;0.0000886;0.002841092
Enpp3;0.77;0.0000892;0.002841092
Cers6;1.031;0.0000889;0.002841092
Spink1;0.408;0.0000896;0.002843673
Zbtb8os;-0.924;0.0000901;0.002851542
C130074G19Rik;-1.323;0.0000911;0.002865041
Tmed7;0.645;0.000091;0.002865041
Pkp4;-1.211;0.0000961;0.00299238
Hsd17b11;0.748;0.0000955;0.00299238
Tmed4;0.726;0.000096;0.00299238
Itga3;0.983;0.0000985;0.003057036
Dido1;0.869;0.000103914;0.003206455
Gm42718;-1.087;0.000103897;0.003206455
Cftr;2.274;0.000108777;0.003346074
Pnp;0.668;0.000109329;0.003352658
Lipa;1.59;0.000111151;0.003393371
Fbln1;1.582;0.000111342;0.003393371
Slc35a3;1.266;0.000112092;0.00339602
E030030I06Rik;-1.056;0.000112115;0.00339602
Dmbt1;1.442;0.000114703;0.00346382
Srpk2;-2.736;0.000115534;0.003478315
Abcc3;2.389;0.000116705;0.003502932
Adam10;1.077;0.000123399;0.003692658
Hmgn2;-3.278;0.000125662;0.003749042
B3gnt3;0.995;0.000126958;0.00377633
Lars2;0.627;0.00013175;0.00390713
Rgs5;-2.355;0.00013478;0.003985048
