gene,Stem cell,TA,Enterocytes [early],Enterocytes [interm],Enterocytes [mature],Paneth,Goblet,Enteroendocrine,Tuft,CD4,CD8,gdT,ILC3,Plasma,cDC,Macrophages,MastCell,Capillary endothel,Lymphatic endothel,Arterial endothel,Venous endothel,Fibroblasts,Pericytes,Neuronal
IRF5,1.16E-06,8.82E-07,9.32E-07,8.69E-07,1.73E-06,1.99E-06,5.91E-07,8.54E-07,0,0,5.37E-06,9.01E-06,0,4.69E-06,3.62E-05,3.82E-05,0,0,5.59E-07,0,0,0,0,0
IRF6,2.96E-05,2.94E-05,2.80E-05,2.37E-05,2.47E-05,5.64E-05,5.13E-05,3.69E-05,3.53E-05,0,3.74E-07,1.31E-06,0,5.50E-07,0,8.75E-06,2.63E-05,0,0,6.78E-05,0,0,2.11E-06,0
IRF7,1.06E-05,8.37E-06,1.00E-05,1.19E-05,1.13E-05,1.36E-05,1.79E-05,2.01E-05,2.72E-05,0,7.00E-05,6.78E-05,0.000246974,4.60E-05,4.42E-06,4.71E-05,3.12E-05,2.72E-05,2.81E-05,5.23E-05,7.45E-06,1.84E-05,2.21E-05,0
IRF8,1.19E-05,1.60E-05,2.32E-05,2.01E-05,1.28E-05,6.33E-07,2.02E-05,1.21E-05,7.78E-07,0,2.34E-05,4.97E-05,0.000172061,0,0.000147224,5.60E-05,0,0,1.56E-05,0,1.83E-06,0,0,0
IRF9,6.84E-06,6.69E-06,7.87E-06,1.82E-05,1.85E-05,8.77E-06,9.50E-06,6.47E-06,3.69E-05,0,3.55E-06,8.75E-06,3.38E-05,1.17E-05,4.73E-06,6.39E-07,0,3.09E-05,1.30E-06,1.01E-05,3.05E-06,0,2.62E-06,0
IRGQ,9.23E-06,5.44E-06,1.00E-05,8.31E-06,8.25E-06,7.75E-06,1.16E-05,1.76E-05,1.23E-05,0,4.50E-06,6.36E-06,0,2.50E-06,0,1.18E-05,1.70E-05,0,4.94E-06,4.86E-06,7.40E-06,1.79E-05,4.48E-06,0
IRS1,1.39E-05,9.07E-06,2.12E-05,2.57E-05,1.65E-05,6.33E-07,1.92E-06,1.14E-05,4.52E-06,0,3.56E-06,4.26E-06,0,1.08E-05,0,0,0,0,0,0,0,2.31E-05,2.95E-05,0
IRS2,1.78E-05,1.24E-05,1.81E-05,2.83E-05,4.95E-05,1.60E-05,2.87E-05,7.06E-05,2.37E-05,0,8.37E-06,1.52E-05,0,0,0,1.87E-05,8.60E-05,0,2.26E-06,0,4.11E-06,1.08E-06,1.25E-05,0.000259879
ISCA1,4.59E-05,3.97E-05,3.52E-05,2.77E-05,2.35E-05,2.75E-05,3.73E-05,6.05E-05,7.66E-05,0,5.10E-05,5.47E-05,0,1.50E-05,5.56E-06,3.38E-05,0.000121701,0,5.89E-05,3.33E-05,4.50E-05,2.84E-05,2.49E-05,0
ISCA2,3.87E-05,3.21E-05,2.53E-05,2.29E-05,1.58E-05,1.49E-05,3.86E-05,5.07E-05,6.39E-05,0.000115307,2.10E-05,1.72E-05,0,9.61E-06,0,7.94E-06,2.06E-05,4.13E-05,3.77E-05,2.69E-05,2.15E-05,4.07E-06,3.29E-05,0
ISCU,0.000102566,7.76E-05,7.57E-05,6.93E-05,7.62E-05,6.73E-05,7.06E-05,6.91E-05,7.24E-05,0.000191887,0.000139806,0.000120945,0,0.000109829,5.34E-05,0.000127099,8.78E-05,3.53E-05,0.000210764,0.000221594,0.000178734,0.000307292,0.000189635,0
ISG15,6.58E-06,6.62E-06,5.99E-06,2.49E-05,5.82E-05,1.09E-05,1.66E-05,3.18E-05,6.33E-05,7.66E-05,0.000106185,0.000120826,3.38E-05,3.22E-05,0.000113732,0.000101586,7.05E-05,0.000219116,4.38E-05,0.000110608,4.19E-05,0.000220822,3.27E-05,0
ISG20,2.26E-06,1.32E-06,3.82E-06,3.42E-05,0.000127948,3.19E-05,5.82E-05,1.99E-05,3.27E-05,0.000790345,0.000332316,0.000320056,0.000376012,0.000281732,6.19E-05,9.61E-06,0,0.000198706,0.000194402,4.32E-05,6.92E-05,3.24E-05,1.69E-05,0
ISG20L2,1.38E-05,2.17E-05,1.35E-05,1.39E-05,1.22E-05,1.54E-05,2.28E-05,1.68E-05,2.72E-05,0,3.66E-05,5.78E-05,0,3.33E-05,2.46E-05,2.43E-05,4.69E-05,0,8.19E-06,1.86E-05,2.76E-05,3.02E-05,2.53E-05,0
ISL1,0,1.22E-06,5.13E-08,1.52E-07,1.05E-07,0,0,0.000242246,0,0,0,1.61E-06,0,0,0,0,0,0,0,5.00E-06,0,5.65E-06,0,0
ISOC1,2.63E-05,3.04E-05,2.61E-05,2.72E-05,2.44E-05,8.82E-06,2.87E-05,4.89E-05,2.56E-05,0,2.83E-05,4.13E-05,0,2.01E-05,0,1.10E-05,3.41E-05,0,1.77E-05,5.29E-06,8.99E-06,2.40E-05,2.87E-05,0
ISOC2,4.70E-05,7.50E-05,5.81E-05,3.55E-05,4.20E-05,3.19E-05,7.43E-05,5.16E-05,5.43E-05,0,1.07E-05,1.43E-05,0,4.37E-05,5.56E-06,3.64E-05,0,6.25E-05,3.04E-05,2.29E-05,1.83E-05,1.02E-05,8.15E-05,0
ISPD,1.02E-06,1.04E-06,7.16E-07,0,0,0,2.76E-06,1.89E-06,5.16E-06,0,1.03E-06,0,0,0,0,0,0,0,3.77E-06,0,6.50E-06,2.56E-06,0,0
IST1,5.30E-05,5.19E-05,5.03E-05,4.65E-05,5.18E-05,4.55E-05,7.17E-05,8.30E-05,0.000109769,0,4.77E-05,6.05E-05,0,1.69E-05,8.65E-06,4.74E-05,7.05E-05,0.000139601,7.82E-05,7.18E-05,7.45E-05,0.000112818,5.94E-05,0.000174967
ISX,9.34E-06,1.70E-05,2.28E-05,2.55E-05,8.83E-06,6.61E-06,1.22E-05,4.21E-06,1.32E-05,0,0,0,0,5.50E-07,0,6.39E-07,0,0,0,1.27E-06,7.08E-06,0,1.76E-06,0
ISY1,1.32E-05,1.54E-05,1.15E-05,1.33E-05,1.09E-05,2.17E-05,1.71E-05,3.91E-05,1.40E-05,0.000115307,7.54E-06,1.35E-05,0,0,0,0,0,4.13E-05,1.89E-05,1.60E-05,2.17E-05,0,1.32E-05,0
ISYNA1,1.13E-05,5.65E-06,3.82E-06,1.10E-06,2.93E-07,0,1.63E-06,4.15E-05,5.26E-06,0,3.65E-05,8.58E-05,0,5.50E-07,2.77E-05,0,0,8.60E-05,0.000497349,9.13E-05,6.86E-05,0.000678283,1.10E-05,8.66E-05
ITCH,2.59E-05,3.46E-05,3.17E-05,2.71E-05,3.33E-05,2.99E-05,3.16E-05,4.42E-05,3.50E-05,0,2.58E-05,2.46E-05,0,6.08E-05,0,3.24E-05,1.70E-05,6.88E-05,1.45E-05,2.35E-05,4.76E-05,3.98E-05,3.51E-05,0.000174967
ITCH-AS1,2.29E-07,0,9.09E-08,8.35E-08,4.55E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITFG1,3.00E-05,3.98E-05,4.48E-05,3.93E-05,4.56E-05,3.15E-05,4.27E-05,8.58E-05,0.000165229,0,2.38E-05,4.26E-05,0,8.68E-06,6.35E-05,2.82E-05,7.62E-05,4.13E-05,3.35E-05,6.34E-05,4.59E-05,4.76E-05,7.40E-05,0
ITFG2,1.61E-05,1.85E-05,1.70E-05,1.52E-05,1.16E-05,2.22E-05,1.71E-05,1.98E-05,1.84E-05,0,2.73E-05,3.53E-05,0,3.68E-05,0,1.37E-05,0,4.02E-05,7.32E-06,1.10E-05,2.29E-05,1.15E-05,1.16E-05,0
ITFG2-AS1,3.67E-06,2.91E-06,2.29E-06,1.26E-06,1.09E-06,0,1.11E-06,2.13E-06,0,0,3.00E-06,7.87E-06,0,1.41E-05,0,9.34E-06,0,0,5.51E-06,0,8.25E-07,0,1.22E-06,0
ITGA1,3.77E-05,5.72E-05,3.75E-05,1.11E-05,4.91E-06,1.31E-05,2.09E-05,2.63E-05,1.67E-05,0,0.000101626,0.000192279,0,0,0,0,0,0.000134325,6.07E-05,9.98E-05,7.73E-05,9.58E-05,3.15E-05,0.000174967
ITGA10,3.24E-08,0,1.47E-07,2.05E-07,2.16E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24E-05,5.32E-05,0,0,0
