gene,Stem cell,TA,Enterocytes [early],Enterocytes [interm],Enterocytes [mature],Paneth,Goblet,Enteroendocrine,Tuft,CD4,CD8,gdT,ILC3,Plasma,cDC,Macrophages,MastCell,Capillary endothel,Lymphatic endothel,Arterial endothel,Venous endothel,Fibroblasts,Pericytes,Neuronal
A1BG,0,0,2.88E-07,7.03E-08,7.01E-08,0,0,4.53E-06,0,0,5.17E-05,5.70E-05,3.38E-05,1.83E-05,0.000121382,1.98E-05,1.30E-05,0,3.63E-06,0,0,8.21E-05,0,0.000160687
A1CF,3.05E-05,3.58E-05,5.83E-05,7.97E-05,9.60E-05,5.70E-05,7.47E-05,0.000171849,4.32E-05,0,0,0,0,1.67E-05,0,0,0,0,0,7.09E-07,1.23E-06,0,2.88E-06,0
A2M-AS1,3.54E-07,0,4.50E-07,8.87E-08,1.07E-07,1.50E-06,5.34E-07,0,0,0,0,7.30E-07,0,0,0,0,0,0,4.63E-06,0,2.81E-06,0,9.19E-07,0
A2ML1,2.32E-07,0,0,0,0,0,0,0,2.32E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,0,0,6.51E-08,4.57E-08,0,1.99E-06,0,9.24E-07,0,0,0,9.88E-06,0,0,0,3.15E-06,0,0.000177757,0.00023008,7.74E-05,0.00013424,8.05E-05,0.00016079,0
AAAS,1.38E-05,1.68E-05,8.57E-06,8.73E-06,6.22E-06,8.99E-06,1.39E-05,1.48E-05,1.70E-05,0,6.58E-06,1.45E-05,0,8.37E-06,1.03E-05,4.46E-06,1.31E-05,0,1.16E-05,5.85E-06,1.96E-05,9.08E-06,2.97E-05,0
AACS,1.03E-05,1.95E-05,1.47E-05,1.48E-05,1.22E-05,3.77E-05,3.89E-05,2.84E-05,1.45E-05,0,1.50E-05,2.01E-05,3.38E-05,1.27E-05,0,1.92E-05,1.70E-05,0,8.28E-06,4.44E-06,9.50E-06,0,2.36E-05,0
AADAC,2.04E-05,6.37E-05,0.000103804,0.000154941,5.84E-05,0,6.30E-06,6.39E-07,1.61E-05,0,0,0,0,0,4.39E-05,0,0,0,6.03E-06,2.70E-05,5.95E-06,1.66E-05,3.81E-06,0
AADAT,3.84E-06,2.47E-06,1.84E-06,1.89E-07,7.30E-08,1.57E-05,4.98E-06,6.69E-06,0,0,0,0,0,0,0,0,0,0,2.28E-06,0,0,0,7.33E-07,0
AAED1,3.29E-06,2.94E-06,1.81E-06,3.59E-07,8.56E-07,0,0,2.48E-05,5.29E-06,0,3.53E-05,2.95E-05,5.44E-05,2.87E-05,4.42E-06,2.11E-05,2.23E-05,0,5.12E-05,0.000118636,3.04E-05,2.84E-05,3.41E-05,0
AAGAB,8.12E-06,1.87E-05,1.07E-05,9.18E-06,1.05E-05,1.29E-05,2.52E-05,2.78E-05,9.58E-06,0,2.27E-05,2.51E-05,0,1.82E-05,0,2.28E-05,1.30E-05,4.69E-05,1.97E-05,3.54E-05,2.20E-05,3.38E-05,2.31E-05,0
AAK1,8.36E-06,1.06E-05,1.84E-05,3.93E-05,7.65E-05,7.71E-06,2.82E-05,6.05E-05,1.90E-05,0,6.97E-05,7.02E-05,6.76E-05,1.45E-05,4.22E-06,4.73E-05,4.33E-05,8.80E-05,5.05E-05,0.00023323,0.000117094,4.41E-05,2.99E-05,0
AAMDC,5.07E-05,5.57E-05,4.18E-05,8.51E-05,0.00012245,1.73E-05,2.52E-05,3.48E-05,6.97E-05,0,1.69E-05,2.26E-05,0,2.19E-06,3.66E-05,1.21E-05,0,0,4.83E-05,4.89E-05,3.25E-05,5.18E-05,4.80E-05,0
AAMP,5.05E-05,4.51E-05,4.75E-05,4.34E-05,3.87E-05,4.36E-05,6.08E-05,3.27E-05,4.89E-05,0,2.48E-05,4.80E-05,0,8.80E-06,4.13E-05,4.63E-05,7.57E-05,9.28E-06,8.96E-05,5.95E-05,4.24E-05,8.85E-05,0.000101248,0
AAR2,1.05E-05,1.04E-05,7.26E-06,7.14E-06,8.92E-06,1.10E-05,9.42E-06,1.43E-05,5.03E-06,0,1.10E-05,1.74E-05,0,1.06E-05,1.74E-05,2.29E-06,0,0,2.26E-05,2.20E-05,9.77E-06,2.38E-05,1.93E-05,0
AARD,0,3.91E-07,6.77E-08,1.77E-07,0,0,0,2.43E-06,0,0,0,0,0,0,0,0,1.31E-05,0,0,0,0,0,0,0
AARS,1.32E-05,2.00E-05,1.39E-05,1.86E-05,1.64E-05,2.29E-05,3.62E-05,3.71E-05,1.27E-05,0,2.42E-05,2.02E-05,5.44E-05,4.61E-05,9.99E-06,3.13E-05,0,3.09E-05,2.83E-05,2.24E-05,3.14E-05,1.57E-06,2.64E-05,0
AARS2,7.21E-06,1.20E-05,1.24E-05,1.64E-05,1.79E-05,1.17E-06,4.16E-06,2.18E-06,3.95E-06,0,5.82E-06,3.90E-06,0,0,0,5.39E-06,0,0,1.90E-06,6.65E-06,6.69E-06,0,4.38E-06,0
AARSD1,1.47E-05,1.51E-05,1.49E-05,1.48E-05,9.14E-06,2.91E-05,1.13E-05,3.13E-05,8.24E-06,0,4.38E-06,7.05E-06,0,8.56E-06,0,0,0,0,0,1.59E-05,8.84E-06,3.41E-05,1.47E-06,0
AASDH,2.20E-05,2.62E-05,1.73E-05,1.08E-05,1.02E-05,6.99E-06,1.11E-05,1.54E-05,3.54E-05,0,1.27E-05,1.60E-05,0,1.27E-06,0,2.01E-05,0,0,2.93E-06,1.69E-05,1.45E-05,8.68E-06,1.01E-05,0
AASDHPPT,2.32E-05,2.87E-05,1.90E-05,1.48E-05,1.22E-05,1.20E-05,2.68E-05,3.72E-05,5.83E-05,0,4.77E-05,7.62E-05,9.92E-05,3.07E-05,2.85E-05,4.34E-05,6.27E-05,3.53E-05,3.63E-05,8.11E-05,2.66E-05,5.80E-05,3.65E-05,0
AASS,1.04E-05,8.19E-06,1.28E-05,4.83E-05,8.58E-05,1.21E-05,1.01E-05,1.21E-05,6.90E-06,0,1.87E-06,1.87E-06,0,0,0,0,0,0,2.58E-06,2.07E-05,2.99E-05,2.97E-05,2.24E-05,0
AATBC,2.81E-07,0,0,0,0,0,1.38E-07,8.68E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AATF,2.80E-05,3.39E-05,2.20E-05,1.85E-05,1.88E-05,1.79E-05,2.60E-05,3.60E-05,2.83E-05,0,4.40E-05,5.20E-05,6.14E-05,1.82E-05,1.74E-05,6.56E-05,2.63E-05,2.16E-05,5.57E-05,2.38E-05,2.83E-05,3.10E-05,3.00E-05,0
AATK,9.94E-06,1.15E-05,1.79E-05,3.64E-05,4.96E-05,2.15E-06,5.27E-06,9.61E-06,0,0,8.16E-07,0,0,5.48E-06,0,8.63E-06,3.78E-05,0,0,6.13E-06,8.25E-07,0,0,0
ABALON,5.11E-07,0,0,2.43E-07,1.35E-07,1.07E-06,0,0,0,0,1.24E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAT,2.91E-05,1.08E-05,3.42E-05,6.90E-05,5.45E-05,6.91E-06,4.94E-06,3.19E-05,1.41E-05,0,1.64E-06,4.20E-06,0,5.50E-07,8.44E-06,0,0,0,0,1.22E-06,7.83E-06,7.78E-06,0,8.66E-05
ABCA1,1.58E-05,1.67E-06,6.29E-06,1.14E-05,1.68E-05,3.02E-05,7.66E-06,1.52E-05,1.91E-05,0,3.72E-06,7.65E-06,0,2.42E-05,3.60E-05,0.000103752,0,0,3.69E-05,4.63E-06,2.24E-05,4.06E-05,7.60E-05,0.000160687
ABCA10,2.55E-06,1.86E-07,2.75E-06,3.98E-06,7.88E-06,1.68E-05,1.54E-05,2.64E-05,2.45E-06,0,0,0,0,0,0,0,0,0,4.48E-07,0,0,0,1.45E-05,0
ABCA13,5.34E-06,5.02E-06,2.70E-06,8.45E-07,3.50E-07,0,1.85E-06,0,1.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA2,5.93E-06,5.56E-06,7.78E-06,2.52E-06,1.37E-06,0,2.57E-06,1.76E-05,0,0,2.66E-06,2.52E-05,0,0,0,5.71E-06,0,0,3.73E-06,3.00E-05,1.58E-05,5.41E-07,1.02E-05,0
ABCA3,2.45E-07,4.66E-07,8.37E-07,2.03E-06,2.33E-06,2.67E-06,2.86E-06,1.41E-05,0,0,1.35E-06,4.62E-06,0,0,0,1.94E-05,0,0,2.00E-05,6.64E-06,1.54E-05,7.32E-06,7.74E-06,0
ABCA4,1.64E-07,1.00E-06,3.04E-07,4.20E-07,4.67E-07,2.10E-05,0.000167987,2.39E-06,0,0,0,0,0,0,0,0,0,0,1.79E-05,0,0,0,0,0
ABCA5,2.65E-05,2.27E-05,4.81E-05,7.03E-05,9.13E-05,8.25E-05,0.000151165,0.000182835,8.65E-05,0,1.77E-05,2.57E-05,0,7.80E-06,0,0,0,0,1.40E-05,1.34E-05,2.14E-05,3.85E-05,1.68E-05,0
ABCA6,1.44E-07,1.86E-07,3.07E-07,2.62E-06,1.54E-06,5.55E-06,3.47E-06,6.01E-06,2.08E-06,0,0,0,0,0,0,0.00012853,0,0,1.01E-06,0,0,0,0.000115947,8.66E-05
ABCA7,2.81E-07,2.48E-06,1.04E-06,7.44E-07,1.03E-06,1.17E-06,2.43E-06,1.20E-05,8.19E-06,0,1.05E-05,2.48E-05,0,0,0,3.27E-05,0,0,0,8.22E-06,0,3.53E-05,0,0
ABCA9,1.46E-07,0,3.33E-07,3.63E-07,6.79E-07,8.92E-07,1.58E-06,7.00E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137158,0
ABCB1,2.07E-05,2.37E-05,3.21E-05,4.80E-05,0.000140679,1.53E-05,2.01E-05,4.47E-05,3.52E-05,0.000115307,7.40E-05,0.000143894,0.000196913,3.44E-06,5.56E-06,6.39E-06,2.43E-05,9.28E-06,0,2.99E-05,3.06E-05,0,4.76E-06,0
ABCB10,9.36E-06,2.01E-05,1.57E-05,1.76E-05,1.38E-05,8.98E-06,5.99E-06,8.47E-05,7.26E-06,0.000230667,1.67E-06,2.03E-06,0,0,0,2.44E-06,0,0,7.41E-06,1.39E-06,2.15E-06,1.25E-05,1.01E-05,8.66E-05
ABCB11,0,0,2.23E-07,2.12E-07,1.89E-07,0,3.28E-07,0,1.39E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB4,3.65E-07,0,2.13E-07,0,0,0,6.46E-07,2.12E-06,0,0,0,0,0,0,0,0,0,0,0,0,5.37E-06,0,0,0
ABCB5,1.60E-07,0,0,5.83E-08,2.78E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64E-06,0
ABCB6,2.71E-06,4.69E-06,6.05E-06,1.08E-05,4.85E-06,1.69E-05,6.88E-06,5.64E-06,4.13E-06,0,4.76E-07,0,0,0,0,0,0,0,0,2.03E-06,1.15E-05,0,2.93E-06,0
ABCB7,2.84E-05,2.55E-05,2.81E-05,2.87E-05,2.11E-05,2.72E-05,1.30E-05,2.42E-05,1.23E-05,6.17E-05,1.68E-05,1.96E-05,6.14E-05,1.54E-05,2.68E-05,3.51E-05,4.42E-05,5.61E-05,1.41E-05,2.13E-05,6.34E-06,6.36E-06,3.55E-05,0
ABCB8,4.38E-06,2.55E-05,1.52E-05,1.55E-05,1.27E-05,2.75E-06,1.04E-05,8.49E-06,1.19E-05,0,1.16E-05,1.29E-05,0,7.87E-06,0,2.44E-05,3.61E-05,0,1.22E-05,1.73E-05,1.35E-05,2.05E-05,1.25E-05,0
ABCB9,2.18E-06,3.56E-06,2.04E-06,2.25E-06,2.89E-06,0,8.75E-07,8.43E-06,3.04E-05,0,3.12E-06,0,0,2.52E-05,0,1.92E-06,0,9.28E-06,0,4.08E-06,0,1.27E-05,5.16E-07,0
ABCC1,8.42E-06,5.35E-06,3.27E-06,1.47E-07,1.91E-07,8.15E-06,1.58E-05,3.64E-05,1.13E-05,0,6.39E-05,6.61E-05,3.38E-05,0,5.65E-05,1.70E-05,2.63E-05,0,2.98E-05,5.22E-05,9.02E-06,0,3.44E-05,0
ABCC10,5.64E-06,8.59E-06,6.46E-06,7.11E-06,5.41E-06,9.80E-06,9.08E-06,2.81E-05,8.08E-06,0,8.06E-06,1.75E-05,0,5.50E-07,0,2.32E-05,0,0,2.26E-06,2.20E-06,3.55E-06,5.41E-07,1.07E-05,0
ABCC11,7.60E-08,0,0,2.85E-07,3.41E-07,0,1.85E-07,0,0,0,0,8.88E-07,0,0,0,0,0,0,0,0,0,0,0,0
ABCC2,5.82E-07,5.27E-07,2.60E-06,1.35E-05,1.80E-05,0,1.53E-06,1.47E-06,0,0,1.06E-06,3.11E-06,0,6.03E-06,0,0,0,0,8.40E-06,0,6.20E-06,4.56E-06,6.69E-06,0
ABCC3,3.84E-05,8.05E-05,0.0001046,0.000120323,0.000134074,7.73E-05,0.000113863,6.15E-05,0.00010138,0.000139228,2.36E-07,2.17E-06,0,1.10E-06,0,1.19E-05,0,0,4.90E-06,2.12E-06,1.04E-05,5.65E-06,1.90E-06,0
ABCC4,1.57E-05,1.29E-05,1.03E-05,3.45E-06,1.07E-06,1.33E-05,3.31E-06,8.17E-06,3.35E-05,0,5.99E-06,6.67E-06,0.000138253,1.39E-06,4.42E-06,3.08E-05,0.000165422,7.66E-05,1.09E-06,9.84E-05,5.35E-05,0,8.36E-06,0
ABCC5,9.21E-06,6.83E-06,6.77E-06,6.77E-06,1.24E-05,1.18E-05,3.33E-06,4.45E-05,3.32E-05,0,8.23E-06,1.19E-05,0,1.50E-05,1.28E-05,2.30E-05,0,0,9.43E-06,1.02E-05,2.08E-06,5.41E-07,2.07E-05,0
ABCC6,8.61E-06,1.43E-05,1.70E-05,2.08E-05,2.12E-05,4.70E-06,1.22E-05,8.91E-06,0,0,1.62E-06,0,0,0,0,4.61E-06,0,0,5.59E-07,0,1.13E-06,0,0,0
ABCC8,5.24E-08,0,0,0,6.18E-08,0,1.82E-07,6.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,4.62E-06,1.87E-06,0,0
ABCD1,5.21E-06,1.36E-06,5.11E-06,1.09E-05,2.40E-05,3.30E-06,1.73E-06,2.32E-06,5.98E-06,0,2.76E-06,1.06E-05,0,0,4.39E-05,2.77E-05,0,0,7.57E-06,7.63E-06,1.45E-05,6.35E-06,3.10E-06,0
ABCD3,3.46E-05,5.54E-05,4.92E-05,4.06E-05,3.73E-05,2.92E-05,5.66E-05,7.13E-05,7.83E-05,0,1.26E-05,9.78E-06,0,8.23E-06,0,2.23E-05,4.57E-05,0,1.55E-05,3.71E-05,2.14E-05,2.08E-05,9.65E-06,0
ABCD4,2.33E-05,3.26E-05,3.17E-05,3.08E-05,2.52E-05,1.79E-05,2.31E-05,2.82E-05,7.28E-05,0,1.07E-05,2.36E-05,0,1.92E-05,4.22E-06,4.86E-05,0,0.000105871,4.20E-05,3.99E-05,8.22E-05,1.65E-06,3.58E-05,0
ABCE1,5.45E-05,7.20E-05,4.81E-05,1.85E-05,7.18E-06,3.84E-05,3.48E-05,3.49E-05,4.02E-05,0,4.74E-05,4.96E-05,0,3.76E-05,0.00013527,1.32E-05,4.67E-05,8.97E-05,5.87E-05,7.18E-05,8.75E-05,4.84E-05,5.97E-05,0
ABCF1,4.73E-05,6.69E-05,5.24E-05,5.95E-05,6.16E-05,4.25E-05,5.34E-05,8.42E-05,7.11E-05,0.000254535,6.24E-05,3.97E-05,0,3.49E-05,4.42E-06,1.84E-05,3.01E-05,3.09E-05,5.62E-05,7.33E-05,8.08E-05,0.000118989,5.05E-05,0.000174967
ABCF2,5.11E-06,6.87E-06,5.85E-06,6.99E-06,4.45E-06,5.90E-06,5.57E-06,1.85E-05,1.70E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF2-1,2.70E-06,5.11E-06,4.68E-06,7.08E-07,3.23E-07,0,3.46E-06,1.89E-06,2.46E-06,0,4.41E-06,1.58E-06,0,6.54E-06,0,0,0,0,7.18E-06,2.10E-05,2.60E-05,1.00E-05,1.69E-05,0
ABCF3,1.13E-05,1.45E-05,1.51E-05,1.24E-05,1.04E-05,2.50E-06,1.43E-05,2.96E-05,1.88E-05,0,1.70E-05,1.45E-05,0,3.88E-05,1.75E-05,2.14E-05,4.92E-05,0,1.19E-05,2.62E-05,3.65E-05,2.94E-05,2.80E-05,0
ABCG1,3.42E-06,3.63E-07,1.40E-06,1.42E-05,5.48E-05,9.24E-06,1.12E-05,6.83E-06,1.28E-05,0,9.85E-06,3.85E-05,0,3.03E-06,0,3.92E-05,0,0.000111933,0.000157056,7.39E-05,4.71E-05,2.51E-05,4.65E-05,0
ABCG2,8.89E-07,5.01E-06,4.21E-06,4.02E-05,6.27E-05,0,1.22E-05,1.04E-05,0,0,1.40E-06,2.81E-06,0,5.48E-06,0,6.21E-06,3.78E-05,7.44E-05,1.45E-05,1.81E-05,6.69E-05,2.58E-06,0,0.000160687
ABCG5,3.23E-06,3.44E-06,1.07E-05,6.33E-05,0.0001195,1.86E-06,2.94E-06,1.45E-05,1.92E-06,0,1.23E-06,0,0,5.50E-07,0,0,0,0,2.00E-06,5.69E-06,1.14E-06,1.01E-05,5.74E-07,0
ABCG8,3.94E-06,4.37E-06,1.19E-05,4.97E-05,8.49E-05,2.39E-06,1.77E-06,6.95E-06,7.78E-07,0,0,0,0,0,0,0,0,0,0,0,3.06E-06,0,3.53E-07,0
ABHD1,4.53E-07,1.06E-07,3.59E-07,0,1.47E-07,1.85E-06,2.27E-07,0,0,0,3.77E-07,0,0,0,0,8.77E-07,1.70E-05,0,3.45E-06,0,0,0,0,0
ABHD10,1.11E-05,1.86E-05,1.30E-05,7.75E-06,5.56E-06,1.65E-05,1.95E-05,8.19E-06,2.24E-05,0,1.48E-05,1.24E-05,0,6.53E-06,0,1.09E-05,4.33E-05,2.72E-05,5.88E-06,5.41E-06,6.77E-06,1.01E-05,1.25E-05,0
ABHD11,6.34E-05,7.92E-05,6.94E-05,4.30E-05,2.62E-05,2.87E-05,6.37E-05,2.58E-05,0.00010619,0,9.47E-06,8.64E-06,0,0,0,1.66E-05,1.30E-05,9.28E-06,7.74E-06,4.23E-06,1.19E-05,2.30E-05,1.23E-05,0
ABHD12,1.29E-05,2.15E-05,1.40E-05,3.21E-05,4.91E-05,1.44E-05,1.63E-05,2.64E-05,2.30E-05,0,9.67E-06,1.88E-05,0.000122849,3.56E-05,2.98E-05,8.75E-05,5.74E-05,5.61E-05,3.74E-05,5.05E-05,2.25E-05,2.07E-05,4.67E-05,0
ABHD12B,1.23E-07,0,0,0,0,0,0,0,4.47E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61E-07,0
ABHD13,1.69E-05,1.40E-05,1.53E-05,1.25E-05,1.44E-05,8.46E-06,1.57E-05,9.24E-05,1.68E-05,0,2.26E-05,2.05E-05,0,1.24E-05,0,2.44E-06,6.48E-05,8.27E-05,1.60E-05,1.85E-05,9.77E-06,1.72E-05,4.02E-05,0
ABHD14A,1.37E-05,5.66E-06,6.69E-06,3.15E-06,2.07E-06,1.56E-05,6.28E-06,5.93E-05,1.94E-05,0,9.21E-07,1.01E-06,0,5.50E-07,0,0,0,0,3.15E-06,3.58E-07,7.49E-07,0,7.14E-06,0
ABHD14A-ACY1,1.95E-07,0,9.25E-07,0,1.94E-07,4.51E-06,1.04E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27E-07,0,0,0
ABHD14B,6.15E-05,7.42E-05,7.75E-05,8.32E-05,6.33E-05,3.83E-05,7.61E-05,8.65E-05,8.05E-05,0.000115307,7.80E-05,0.000119702,0,2.04E-05,8.59E-05,3.55E-05,5.96E-05,0,4.29E-05,4.55E-05,3.19E-05,3.29E-05,4.61E-05,0
ABHD15,4.50E-06,1.16E-05,5.13E-06,8.34E-06,6.98E-06,5.06E-06,8.80E-06,1.75E-05,3.98E-06,6.17E-05,4.78E-06,2.38E-05,0.000237451,0,1.75E-05,1.83E-05,0,0,0,6.04E-06,2.30E-06,0,4.10E-06,0
ABHD15-AS1,0,1.50E-07,0,7.32E-08,1.37E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD16A,1.03E-05,1.19E-05,1.08E-05,1.59E-05,1.47E-05,3.26E-05,1.36E-05,2.29E-05,1.63E-05,0,1.36E-05,1.65E-05,0,9.41E-06,0,5.41E-06,6.27E-05,0,3.58E-05,9.57E-06,7.38E-06,2.57E-05,2.48E-05,0
ABHD17A,3.01E-05,4.11E-05,4.02E-05,4.80E-05,4.49E-05,5.36E-05,6.82E-05,6.60E-05,4.72E-05,0.000139228,2.26E-05,2.68E-05,0,9.68E-06,0,3.61E-05,3.61E-05,9.28E-06,2.98E-05,6.86E-05,4.94E-05,1.68E-05,2.31E-05,0
ABHD17B,8.97E-06,7.51E-06,9.56E-06,1.48E-05,1.97E-05,2.83E-05,2.35E-05,1.32E-05,1.67E-05,0,1.61E-05,1.12E-05,5.44E-05,0,6.36E-05,1.32E-05,2.06E-05,0,1.97E-05,7.23E-06,1.56E-05,1.33E-06,3.91E-06,0
ABHD17C,3.07E-05,3.13E-05,3.34E-05,2.04E-05,1.74E-05,2.33E-05,6.85E-05,7.28E-06,1.11E-05,0,0,0,0,5.98E-06,0,0,0,0,0,4.92E-06,1.81E-05,0,4.12E-06,0
ABHD18,1.16E-05,2.22E-05,1.95E-05,2.35E-05,2.35E-05,5.57E-06,2.64E-05,4.10E-05,1.88E-05,0,2.11E-05,2.68E-05,0.000138253,1.66E-05,5.56E-06,8.75E-06,0,7.88E-05,6.73E-06,2.74E-05,1.62E-05,2.48E-05,1.38E-05,8.66E-05
ABHD2,6.26E-05,7.65E-05,5.95E-05,9.00E-05,0.000139859,4.66E-05,9.16E-05,0.000175013,0.000519654,0,8.18E-06,1.40E-05,0,0,4.73E-06,9.81E-06,4.29E-05,4.89E-05,7.66E-05,7.28E-05,0.000108413,0.00013348,6.43E-05,0
ABHD3,1.31E-05,2.39E-05,1.31E-05,2.41E-05,7.59E-05,2.06E-05,2.32E-05,3.20E-05,1.76E-05,0,0.0001389,0.000101896,0.000155796,3.55E-05,4.73E-06,4.64E-05,1.70E-05,0,6.76E-06,3.25E-06,1.09E-05,0,1.91E-05,0
ABHD4,2.96E-06,2.04E-06,2.61E-06,5.55E-06,1.45E-05,1.43E-05,6.37E-06,3.89E-06,4.46E-06,0,2.43E-05,1.28E-05,0,2.36E-06,0,5.43E-06,4.40E-05,0,1.05E-05,1.04E-05,3.96E-06,0,1.09E-05,0
ABHD5,8.48E-06,2.62E-05,1.80E-05,3.22E-05,5.85E-05,4.22E-06,1.19E-05,2.35E-05,4.11E-05,0,2.26E-05,2.39E-05,0,1.60E-05,0,8.60E-05,0,0,2.34E-05,2.88E-05,4.22E-05,1.09E-05,8.48E-05,0
ABHD6,2.29E-06,4.50E-06,6.71E-06,2.05E-05,4.13E-05,2.31E-06,2.88E-06,1.66E-06,4.48E-06,0,3.82E-06,4.66E-06,5.44E-05,0,3.60E-05,1.02E-06,0,0,8.01E-06,2.22E-06,2.72E-06,3.38E-06,3.99E-06,0.000170614
ABHD8,1.60E-06,5.01E-07,5.44E-07,4.74E-08,3.83E-07,1.85E-06,3.14E-06,1.00E-05,1.47E-05,0,4.59E-06,6.15E-06,0,0,0,2.51E-06,0,9.28E-06,3.62E-06,1.38E-05,1.83E-06,2.20E-05,1.32E-05,0
ABI1,4.31E-05,4.36E-05,4.47E-05,4.91E-05,5.29E-05,3.44E-05,6.87E-05,7.80E-05,0.000103505,0,3.79E-05,4.86E-05,0,4.56E-05,2.02E-05,5.72E-05,0,7.99E-05,6.29E-05,7.93E-05,2.99E-05,3.31E-05,5.07E-05,0.000160687
ABI2,2.50E-05,2.24E-05,1.76E-05,8.66E-06,1.03E-05,2.05E-05,3.99E-05,6.88E-05,8.76E-05,0,1.90E-05,1.52E-05,0,1.13E-05,9.15E-06,1.20E-05,2.23E-05,6.88E-05,4.62E-05,7.77E-05,5.77E-05,8.60E-05,2.65E-05,0
ABI3BP,4.94E-06,7.29E-07,9.85E-07,1.61E-06,2.09E-06,8.84E-07,3.77E-06,6.90E-07,4.62E-05,0,0,0,0,0,0,0,0,0,3.83E-05,0.000316093,5.11E-05,0,0.000247974,0
ABITRAM,2.59E-06,3.76E-06,3.44E-06,6.78E-06,5.47E-06,4.97E-06,7.55E-06,3.26E-06,5.64E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABL1,1.74E-05,2.63E-05,1.49E-05,1.08E-05,8.86E-06,2.74E-05,1.97E-05,2.27E-05,2.61E-05,0,4.28E-06,6.23E-06,0,0,0,1.24E-05,0,0,1.54E-05,4.63E-05,4.79E-05,6.98E-05,0.000195978,0.000335655
ABL2,1.46E-05,1.44E-05,1.40E-05,1.21E-05,1.07E-05,2.53E-05,1.36E-05,2.55E-05,8.15E-06,0,6.21E-06,4.62E-06,0,9.70E-07,0,2.72E-05,0,9.61E-05,1.92E-05,0.00014688,5.84E-05,6.79E-06,3.11E-05,0.000174967
ABLIM1,2.91E-05,4.50E-05,4.56E-05,4.68E-05,5.33E-05,5.22E-05,0.000109923,5.74E-05,0.000104751,0,0.000103254,0.000104278,0,0,9.24E-05,0,0,0.000145114,0.00013903,0.000185919,0.000147841,3.57E-06,0.000428826,0
ABLIM2,3.63E-06,5.91E-06,4.33E-06,4.71E-06,2.83E-06,4.88E-06,5.75E-06,1.02E-05,0,0,1.61E-06,2.90E-06,0,0,0,0,0,9.28E-06,5.37E-06,6.04E-07,2.94E-06,3.57E-06,0,0
ABO,7.45E-05,8.42E-05,9.33E-05,4.98E-05,3.96E-05,2.52E-05,6.71E-05,4.24E-05,2.89E-05,0,6.69E-07,8.88E-07,0,0,0,8.34E-06,0,0,1.99E-05,2.01E-05,5.35E-06,5.41E-07,0,0
ABR,3.80E-05,5.03E-05,5.39E-05,3.54E-05,2.61E-05,2.34E-05,3.38E-05,3.38E-05,2.55E-05,0,1.29E-05,7.53E-06,0,0,4.22E-06,1.69E-05,0,2.16E-05,1.02E-05,0.000145324,6.78E-05,0.000137458,2.84E-05,0.000170614
ABRACL,7.31E-05,0.000108429,7.79E-05,7.32E-05,7.17E-05,1.55E-05,5.41E-05,3.45E-05,6.40E-05,0.000177038,0.000207956,0.000155854,0.000483822,2.76E-05,0.000184014,0.000251056,0.000329295,7.06E-05,2.41E-05,7.34E-05,4.15E-05,1.49E-05,5.86E-05,0
ABRAXAS1,1.94E-05,1.13E-05,1.33E-05,1.05E-05,7.19E-06,8.62E-06,6.70E-06,8.68E-06,1.47E-05,0,9.41E-06,2.36E-05,0,0,0,7.96E-06,0,0,2.23E-05,1.95E-05,1.15E-05,1.85E-05,1.55E-05,0
ABRAXAS2,1.13E-05,2.03E-05,1.72E-05,1.27E-05,1.22E-05,1.10E-05,1.35E-05,1.11E-05,2.54E-05,0,1.23E-05,1.60E-05,6.54E-05,1.66E-05,0,1.17E-05,2.23E-05,0,2.27E-05,2.69E-05,2.80E-05,8.32E-06,2.71E-05,0
ABT1,2.64E-05,3.22E-05,2.30E-05,1.50E-05,1.09E-05,3.93E-05,2.69E-05,2.32E-05,3.79E-05,0,3.87E-05,4.67E-05,0,8.28E-06,0,3.09E-05,0,9.28E-06,4.67E-05,6.24E-05,5.84E-05,2.58E-05,2.39E-05,0
ABTB1,1.81E-05,6.36E-06,1.01E-05,7.14E-06,1.14E-05,1.65E-05,2.01E-05,3.73E-05,2.62E-05,0,3.60E-05,4.41E-05,0,1.98E-05,0,2.26E-05,1.30E-05,6.30E-05,2.17E-05,2.81E-05,3.21E-05,0.000113034,1.80E-05,0
